timestamp,consumption,temperature,humidity,wind_speed,cloud_cover,ev_load_norm,solar_gen_norm,dsr_active,hour,weekday,is_weekend,is_holiday,is_peak_hour,is_night_hour,tariff_zone,month,season,heating_degree_days,cooling_degree_days,day_of_year,temperature_squared,rolling_mean_24h,rolling_std_24h,hour_sin,hour_cos
2024-01-01 00:00:00,25451.984,-17.0178,56.61878,3.8787048,0.34800726,0.14319535,0.00018848054,0.0,0,0,0,1,0,1,night,1,winter,35.0178,0.0,0,0.14301506,25451.984,0.0,0.0,1.0
2024-01-01 01:00:00,23966.982,-17.060293,52.582462,1.8175628,0.39877525,0.29139403,0.00056683057,0.0,1,0,0,1,0,1,night,1,winter,35.060295,0.0,0,0.14373016,24709.484,1050.0549,0.25881904,0.9659258
2024-01-01 02:00:00,25234.479,-16.143793,48.280094,2.2770083,0.38215452,0.45163757,0.0016988361,0.0,2,0,0,1,0,1,night,1,winter,34.14379,0.0,0,0.12870225,24884.482,801.98566,0.5,0.8660254
2024-01-01 03:00:00,23719.438,-15.3020735,51.855762,7.559691,0.47187623,0.563528,0.0039618323,0.0,3,0,0,1,0,1,night,1,winter,33.302074,0.0,0,0.115631334,24593.22,876.4242,0.70710677,0.70710677
2024-01-01 04:00:00,24862.588,-16.421795,53.491375,1.5006776,0.37180313,0.5199865,0.011021809,0.0,4,0,0,1,0,1,night,1,winter,34.421795,0.0,0,0.13317302,24647.094,768.50586,0.8660254,0.5
2024-01-01 05:00:00,25698.27,-17.351587,52.13146,1.6913353,0.4262218,0.44805726,0.02228669,0.0,5,0,0,1,0,1,night,1,winter,35.351585,0.0,0,0.14868028,24822.29,810.3349,0.9659258,0.25881904
2024-01-01 06:00:00,27632.4,-17.64918,54.1373,3.0585117,0.42644784,0.33869797,0.04413517,0.0,6,0,0,1,0,1,night,1,winter,35.649178,0.0,0,0.15382397,25223.734,1294.3358,1.0,6.123234e-17
2024-01-01 07:00:00,34200.586,-18.46533,51.336624,5.2470827,0.35843313,0.23650907,0.087287724,0.0,7,0,0,1,0,0,day,1,winter,36.465332,0.0,0,0.16837947,26345.84,3392.4856,0.9659258,-0.25881904
2024-01-01 08:00:00,32838.523,-19.330708,55.032654,2.009924,0.47408333,0.13835828,0.12046577,0.0,8,0,0,1,0,0,day,1,winter,37.330708,0.0,0,0.1845315,27067.25,3841.1223,0.8660254,-0.5
2024-01-01 09:00:00,47854.496,-20.901867,54.64344,2.7808933,0.57427955,0.1201421,0.15204133,0.0,9,0,0,1,0,0,day,1,winter,38.901867,0.0,0,0.21574718,29145.975,7505.053,0.70710677,-0.70710677
2024-01-01 10:00:00,56035.195,-21.577618,52.216026,3.8116274,0.4311061,0.1208191,0.25425273,0.0,10,0,0,1,0,0,day,1,winter,39.577618,0.0,0,0.22992277,31590.45,10789.961,0.5,-0.8660254
2024-01-01 11:00:00,62233.125,-22.432343,52.296913,9.856553,0.434426,0.15947455,0.307607,0.0,11,0,0,1,0,0,day,1,winter,40.432343,0.0,0,0.24849877,34144.004,13567.871,0.25881904,-0.9659258
2024-01-01 12:00:00,63230.508,-23.762098,52.263145,5.3316503,0.46921322,0.2004384,0.32221615,0.0,12,0,0,1,0,0,day,1,winter,41.7621,0.0,0,0.27883324,36381.43,15291.349,1.2246469e-16,-1.0
